complex.connection-incidence	complex	(d_A φ)_e = g_e φ(t e) − φ(s e);  Σ_walk d_A φ = T_walk φ(b) − φ(a)	the connection-valued incidence; its covariant difference telescopes along any walk	edge transports g_e ∈ 𝕜ˣ	L:Holon/Complex:connectionIncidence; L:Holon/Complex:walkRead_connection; R:holonics::geometry::complex::ConnectionIncidence	formal-checked	
deposition.minimal-retention	deposition, compression, constitution	minimalRetain(Θ) = none if Θ₀ = Θ₁ else Θ;  ker(minimalRetain) = futureAgreement; StandingLaw exists; every StandingLaw retain refines it	the minimal retention of the square-law parallel pair collapses exactly the symmetric class and is the least lawful retention	square law, parallel pair	L:Objects/Retention:minimalRetain; L:Objects/Retention:minimalRetain_eq_iff_futureAgreement; L:Objects/Retention:minimalStanding_exists; L:Objects/Retention:minimalRetain_factors_through_every_standing	formal-checked	instance-of:compression.retention-quotient
deposition.minimal-retention-witness	deposition, compression	(1,1) ~ (2,2) merge; (1,2) and (2,4) do not	the minimal retention is strictly coarser than the constitution and strictly finer than nothing	witness	L:Objects/Retention:minimalRetain_witness	counterexample	instance-of:deposition.minimal-retention
deposition.solve-sees-projective-class	deposition, constitution, receiver	Solves(cΘ, φ, σ) ⇔ Solves(Θ, cφ, σ);  observe(cΘ) = observe(Θ), c > 0	on every incidence the present observation sees only the projective class of the constitution	c>0	L:Objects/Retention:observeConstitution_scale; L:Objects/Retention:solves_scale_iff	formal-checked	
deposition.projective-class-not-retention	deposition, compression	(1,2) and (2,4): projectively equal, agree on every present source, separated after one unit stroke	the projective class is not a retention under the square law, which does not commute with scaling	square law	L:Objects/Retention:projective_class_is_not_a_retention	counterexample	obstructs:deposition.solve-sees-projective-class
deposition.work	deposition, constitution	E(x; Q') − E(x; Q) = ½⟨x, (Q' − Q) x⟩	the deposition work of a storage change at fixed state	storage energy ½⟨x,Qx⟩	L:Holon/Deposition:deposition_work	formal-checked	
deposition.commit-balance	deposition, holon, constitution	E(x⁺; Q') − E(x; Q) = −h⟨ē,Rē⟩ + h⟨ē,Lē⟩ + h⟨ē,Bu⟩ + ½⟨x⁺, (Q' − Q)x⁺⟩,  ē = Q(x + x⁺)/2	one implicit-midpoint word followed by a deposit: word balance plus deposition work	Qᵀ = Q, Jᵀ = −J, over a field	L:Holon/Deposition:commit_balance	formal-checked	uses:deposition.work
deposition.learned-energy-balance	deposition, holon, constitution	ẋ = (J − R + L)Q(τ)x + Bu, e = Qx ⇒ dE/dτ = −⟨e,Re⟩ + ⟨e,Le⟩ + ⟨e,Bu⟩ + ½⟨x, Q̇x⟩;  ⟨x,((LQ)ᵀQ + Q LQ)x⟩ = 2⟨Qx, L Qx⟩	under learning the balance carries two terms fixed-material passivity does not see: learned power and deposition work	J skew, Q(τ) symmetric	L:Holon/Deposition:learned_energy_balance; L:Holon/Deposition:learned_rate_form	formal-checked	generalizes:holon.energy-balance
deposition.normal-law-divergence	deposition, holon	H = 1, B = diag(1,−1) ⇒ W = B, WᵀQ + QW = 2W indefinite; (3ⁿ, 0) a midpoint trajectory with energy 9ⁿ/2 = 3²ⁿ/2	learning through an indefinite normal-law block diverges by 9 per commit though the material never changes	J = R = 0, h = 1	L:Holon/Deposition:normal_law_divergence_witness	counterexample	obstructs:holon.committed-energy-bound
deposition.passive-projection	deposition, constitution	projectPassive(L) = skew(L) + U diag(min(λ,0)) Uᵀ of sym L: ⟨e, L'e⟩ ≤ 0, fixes passive L, restores E_n ≤ ∏(1+ε_k)E₀	clipping the positive eigenvalues of the symmetric part makes each learned update passive	real spectral theorem	L:Holon/Deposition:projectPassive; L:Holon/Deposition:projectPassive_passive; L:Holon/Deposition:projectPassive_of_passive; L:Holon/Deposition:projected_committed_energy_bound; L:Holon/Deposition:clipNeg; R:holonics::holon::deposition::PassiveProjection	formal-checked	uses:holon.committed-energy-bound
deposition.certified-congruence-clip	deposition, constitution	Pᵀ(sym L)P = diag d, P P⁻¹ = 1 ⇒ clip = P⁻ᵀ diag(min(d,0)) P⁻¹ ⪯ 0; d_i = ⟨Pδ_i, S Pδ_i⟩; fixes S ⪯ 0	an exact rational certified passive projection via congruence, restoring the committed-energy bound without eigenvalues	char 0 field	L:Holon/Deposition:congruenceClip_eq; L:Holon/Deposition:congruenceClip_nonpos; L:Holon/Deposition:congruence_diag; L:Holon/Deposition:projectPassiveCongruence_passive; L:Holon/Deposition:certified_committed_energy_bound	formal-checked	uses:deposition.passive-projection
deposition.congruence-not-eigen-clip	deposition	S = [[1,1],[1,0]], P = [[1,−1],[0,1]], PᵀSP = diag(1,−1): congruence clip diag(0,−1), removed [[1,1],[1,1]] does not commute with S; eigen-clip commutes	the certified clip and the eigen-clip are different negative semidefinite matrices	witness	L:Holon/Deposition:congruence_vs_eigen_witness; L:Holon/Deposition:clipNeg_commute	counterexample	instance-of:deposition.certified-congruence-clip
ratio.jacobi-formula	ratio	d det M = det M · tr(M⁻¹ M');  d/ds det(1+sA)|₀ = tr A	the log derivative of a block ratio's determinant is the trace of its Maurer–Cartan form R⁻¹dR	entrywise-differentiable complex matrix curve, M(t) invertible	L:Objects/RatioBlock:hasDerivAt_det_curve; L:Objects/RatioBlock:logDerivative_det_line; L:Objects/RatioBlock:detDeriv_eq; L:Objects/RatioBlock:hasDerivAt_det_line_one	formal-checked	uses:ratio.log-derivative
ratio.det-exp-trace	ratio	det(exp A) = exp(tr A)	the determinant face of a matrix exponential is the exponential of its trace (Jacobi along t ↦ exp(tA))	complex square matrices	L:Objects/RatioBlock:det_exp	formal-checked	uses:ratio.jacobi-formula
ratio.trace-log-in-det-fibre	ratio, navigator	exp L = A_H⁻¹A_T, A_H invertible ⇒ tr L ∈ logFibre(det A_T : det A_H);  tr L = ℓ + 2πik for every ℓ in that fibre	tr log R = log det R modulo whole turns; the determinant face cannot choose the branch	declared matrix log	L:Objects/RatioBlock:trace_log_mem_logFibre; L:Objects/RatioBlock:trace_log_eq_log_det_mod	formal-checked	uses:ratio.log-branch
ratio.trace-log-carries-winding	ratio	exp 0 = exp diag(2πi, 0) = 1, tr differ by 2πi	two declared logs of R = 1 differ by one turn: the declared log carries the winding the determinant face forgets	2×2 witness	L:Objects/RatioBlock:trace_log_carries_the_winding	counterexample	obstructs:ratio.trace-log-in-det-fibre
ratio.schwarzian	ratio, swing	S(f) = (f''/f')' − ½(f''/f')² = f'''/f' − (3/2)(f''/f')²	the Schwarzian is the second-order projective invariant of a ratio, read from a declared 3-jet	open set, f' ≠ 0	L:Objects/RatioBlock:schwarzian_eq_of_jet; L:Objects/RatioBlock:preSchwarzian	formal-checked	
ratio.schwarzian-mobius-invariant	ratio, swing	S(M∘f) = S(f), M(w) = (aw+b)/(cw+d), ad−bc ≠ 0;  S(M) = 0	post-composition by a Möbius transport is invisible to the Schwarzian, which vanishes on Möbius maps	cf+d ≠ 0 on U	L:Objects/RatioBlock:schwarzian_mobius_comp; L:Objects/RatioBlock:schwarzian_mobius	formal-checked	uses:ratio.schwarzian
ratio.schwarzian-witnesses	ratio	S(exp) = −1/2;  S(w²) = −3/(2w²) ≠ 0	exp and the square are not projective transports	w ≠ 0	L:Objects/RatioBlock:schwarzian_exp; L:Objects/RatioBlock:schwarzian_sq	formal-checked	instance-of:ratio.schwarzian
ratio.bracket-mobius	ratio, swing	[p,q] = p_num q_den − q_num p_den;  swingPair(Mp₁..Mp₄) = (ad−bc)²·swingPair(p₁..p₄)	a Möbius block transport scales the undivided swing pair by (ad−bc)²; no division is performed	undivided pairs over a field	L:Objects/RatioBlock:projectiveSwing_mobius; L:Objects/RatioBlock:bracket; L:Objects/RatioBlock:projectiveSwing	formal-checked	uses:frame.cross-ratio-undivided
ratio.cross-ratio-mobius-invariant	ratio, swing	crossRatio(Ma, Mb, Mc, Md) = crossRatio(a,b,c,d)	the scalar cross ratio is invariant under the whole projective group	ad−bc ≠ 0, no poles, c≠b, d≠a	L:Objects/RatioBlock:crossRatio_mobius; L:Objects/RatioBlock:mobius_eq_blockTransport_chart	formal-checked	uses:ratio.bracket-mobius
ratio.logit-covector	ratio, receiver	∂/∂s_j(−log p_t) = p_j − [t=j];  ∂/∂s_j H(T, face s) = p_j − T_j;  Σ_j (p_j − T_j) = 0	the cross-entropy logit gradient is produced minus target and carries no total (gauge) current	p = softmax(s), positive target section	L:Objects/Ratio:hasDerivAt_targetSurprisal_coordinate; L:Objects/Ratio:hasDerivAt_crossEntropy_coordinate; L:Objects/Ratio:sum_logitCovector	formal-checked	face-of:ratio.loss-is-log-ratio
ratio.surprisal-partition	ratio, receiver	−log p_t = log Z(s) − s_t;  section-line derivative E_p[d] − d_t	surprisal is the partition logarithm minus the target potential	normalized exponential receiver	L:Objects/Ratio:targetSurprisal_eq; L:Objects/Ratio:hasDerivAt_targetSurprisal_sectionLine	formal-checked	
ratio.logit-covector-witness	ratio	s = 0 over Bool, target true: covector (1/2, −1/2)	the uniform binary receiver returns a nonzero real covector	witness	L:Objects/Ratio:logitCovector_witness; L:Objects/Ratio:face_zero_bool	formal-checked	instance-of:ratio.logit-covector
ratio.lifted-log-amplitude	ratio, parametron	z_i = √q_i e^{iθ_i},  log̃ z_i = ½ log q_i + iθ_i,  exp(log̃ z_i) = z_i ≠ 0	the lift is carried as data, a genuine logarithm of the amplitude, not Complex.log	positive section	L:Objects/Ratio:exp_liftedLog; L:Objects/Ratio:liftedLog_eq; L:Objects/Ratio:amplitude_ne_zero	formal-checked	uses:ratio.log-branch
ratio.lifted-cross-entropy-excess	ratio, receipt	H̃(T,H;θ_H) − H̃(T,T;θ_T) = (2/ln 2) Σ_i T_i ℓ_i,  ℓ_i = log̃(z^T_i / z^H_i);  Re = KL(T‖H)/ln 2	the lifted cross-entropy excess is the target expectation of the log Holon ratio	positive sections, phase lifts	L:Objects/Ratio:liftedCrossEntropy_excess_eq_logRatio; L:Objects/Ratio:liftedCrossEntropy_eq_liftedLog; L:Objects/Ratio:exp_logRatio	formal-checked	face-of:ratio.loss-is-log-ratio
ratio.winding-shift-phase-face	ratio, aeon	θ_i ↦ θ_i + 2πk_i: Re H̃ unchanged, Im H̃ moves by −(4π/ln 2) Σ p_i k_i	a whole-turn shift moves only the phase face of the lifted cross-entropy	k_i ∈ ℤ	L:Objects/Ratio:liftedCrossEntropy_windShift_re; L:Objects/Ratio:liftedCrossEntropy_windShift_im	formal-checked	uses:ratio.log-branch
ratio.amplitude-loses-winding	ratio, aeon	z(θ) = z(θ') ⇔ ∃k∈ℤ, θ' = θ + 2πk;  Log z = log̃ z ⇔ θ ∈ (−π, π]	the amplitude forgets exactly the winding; the principal log recovers the lift only in the principal window	positive q	L:Objects/Ratio:amplitude_eq_iff_winding; L:Objects/Ratio:principalLog_amplitude_iff; L:Objects/Ratio:amplitude_windShift	formal-checked	uses:ratio.log-branch
ratio.winding-separates-cross-entropy	ratio	uniform binary section: lifts 0 and 0+2π have equal amplitudes, lifted cross-entropies differ by −4π/ln 2	equal amplitudes and principal logs can carry different lifted cross-entropy: the winding is information	witness	L:Objects/Ratio:winding_separates_liftedCrossEntropy; L:Objects/Ratio:liftedCrossEntropy_windShift_im	counterexample	obstructs:ratio.amplitude-loses-winding
ratio.log-branch	ratio, aeon	ℓ = log R ∈ logFibre(num : den);  (a≠0 : 0) ↦ ∅;  (0 : 0) ↦ everything;  den unit ⇒ 2πiℤ-torsor: ℓ' ∈ fibre ⇔ ℓ' = ℓ + 2πin, exp ℓ = num·den⁻¹	the log of a ratio is a lift fibre whose winding is the branch; it is refused on a zero denominator and a torsor on the unit chart	undivided complex pair	L:Objects/Ratio:logFibre_torsor; L:Objects/Ratio:logFibre_eq_empty_of_den_eq_zero; L:Objects/Ratio:logFibre_zero_zero; L:Objects/Ratio:exp_eq_fractionalChart; L:Objects/Ratio:logFibre_nonempty; D:docs/ELEMENTARY_OBJECTS.md#9-ratio	formal-checked	
ratio.log-fibre-projective-additive	ratio	logFibre(u·r) = logFibre(r) (u≠0);  ℓ₁ ∈ fib(a:b), ℓ₂ ∈ fib(b:c) ⇒ ℓ₁+ℓ₂ ∈ fib(a:c)	the log fibre is projective and log ratios add along composed comparisons	u ≠ 0	L:Objects/Ratio:logFibre_scale; L:Objects/Ratio:logFibre_comp	formal-checked	uses:ratio.log-branch
ratio.undivided-retains-refused	ratio	(1:0) ≠ (2:0), both log fibres ∅	the undivided pair retains what the log chart refuses	witness	L:Objects/Ratio:undividedPair_retains_refused; L:Objects/Ratio:holonRatio	counterexample	uses:ratio.log-branch
ratio.log-derivative	ratio, navigator	exp∘L = R ⇒ L' = R⁻¹R'	the derivative of any lift is the logarithmic derivative; the first order does not depend on the winding branch	differentiable lift	L:Objects/Ratio:lift_deriv_eq_logDeriv	formal-checked	uses:ratio.log-branch
ratio.loss-is-log-ratio	ratio, receiver, navigator	ℓ_i ∈ logFibre(z^T_i : z^H_i);  along logit j: R_i⁻¹∂_jR_i = (p_j − [i=j])/2;  ∂_j Re(2/ln2 Σ T_i ℓ_i) = (H_j − T_j)/ln 2 = (2/ln 2) Σ_i T_i Re(R_i⁻¹∂_jR_i)	loss is the log of the Holon ratio Ĝ_(T←H), and its logit covector is the target expectation of the ratio's logarithmic derivative	H = face s; logits do not move the lifts (phase face of R⁻¹dR zero)	L:Objects/Ratio:lossCovector_eq_expected_logDerivative; L:Objects/Ratio:ratio_logDerivative_logit; L:Objects/Ratio:logRatio_mem_logFibre; L:Objects/Ratio:hasDerivAt_logRatio_logit	formal-checked	uses:ratio.log-derivative
ratio.maurer-cartan-pure-gauge	ratio, navigator	g⁻¹∂g = gaugeTransform(g⁻¹)(0) = −(∂g⁻¹) g	R⁻¹dR is the pure-gauge term of the inverse gauge acting on the zero connection	gauge over a normed algebra	L:Objects/Ratio:logDerivative_eq_pureGauge; L:Objects/Ratio:logDerivative_eq_neg_differential_inverse	formal-checked	uses:ratio.log-derivative
ratio.log-derivative-product	ratio, navigator	(g₁g₂)⁻¹∂(g₁g₂) = g₂⁻¹(g₁⁻¹∂g₁)g₂ + g₂⁻¹∂g₂	the log derivative of a product is the gauge transform of the first factor's log derivative	gauges	L:Objects/Ratio:logDerivative_mul_eq_gaugeTransform	formal-checked	uses:ratio.maurer-cartan-pure-gauge
ratio.log-derivative-not-additive	ratio	R = rotor·j (quaternions): R⁻¹∂R = −i ≠ i = (rotor⁻¹∂rotor) + (j⁻¹∂j)	in a noncommutative carrier the product split is a conjugation, not a sum	quaternion witness	L:Objects/Ratio:logDerivative_mul_ne_sum; L:Objects/Ratio:logDerivative_rotor	counterexample	obstructs:ratio.log-derivative-product
ratio.jet	ratio, aeon	logJet(L,k) = L^(k);  L' = R'/R,  L'' = R''/R − (R'/R)²;  orders ≥ 1 winding-blind	the jet of the log ratio: order 0 carries the branch, orders 1, 2, 3 are velocity, acceleration, jerk (names of orders only)	C² lift	L:Objects/Ratio:logJet_two; L:Objects/Ratio:logJet	formal-checked	uses:ratio.log-derivative
ratio.quadratic-jet-lattice	ratio, epoch	R = e^{at + bt²/2}: jet (a+bt, b, 0);  sampled on ℕ: Δ²ℓ = b, Δ³ℓ = 0	the continuous jet and the tick-lattice differences read the same acceleration and jerk	a, b ∈ ℚ for the lattice	L:Objects/Ratio:quadraticLog_jet; L:Objects/Ratio:quadraticLog_chain; L:Objects/Ratio:sampledQuadraticLog_differences; L:Objects/Ratio:jet_continuous_matches_lattice	formal-checked	uses:jet.staircase-difference
